epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.10433316975831985,0.2960575222969055,0.12437500059604645,0.28985974192619324
1,0.1310703158378601,0.24442745745182037,0.2578839957714081,0.26531603932380676
2,0.2408374696969986,0.23178280889987946,0.3381253778934479,0.253764271736145
3,0.2461366504430771,0.22439035773277283,0.2921287417411804,0.26624763011932373
4,0.25557154417037964,0.22285380959510803,0.2862163782119751,0.24906449019908905
5,0.23522044718265533,0.22822138667106628,0.29301416873931885,0.25368013978004456
6,0.25592780113220215,0.22557462751865387,0.2619158923625946,0.25112468004226685
7,0.26283347606658936,0.21703895926475525,0.30662861466407776,0.252791166305542
8,0.25290971994400024,0.22204744815826416,0.3075810372829437,0.2516848146915436
9,0.26031583547592163,0.22171743214130402,0.2666431963443756,0.2637636065483093
10,0.26676639914512634,0.2180626392364502,0.34091195464134216,0.2437809705734253
11,0.26026836037635803,0.2151963710784912,0.25689396262168884,0.2540820240974426
12,0.2688317596912384,0.2155364751815796,0.28273898363113403,0.24332964420318604
13,0.26914751529693604,0.21700626611709595,0.27264246344566345,0.24379871785640717
14,0.2728373110294342,0.21440806984901428,0.2723664343357086,0.23894290626049042
15,0.2730000913143158,0.21158453822135925,0.27861109375953674,0.2613862156867981
16,0.2797831594944,0.2100670337677002,0.2598054111003876,0.24784760177135468
17,0.2741730213165283,0.2125571072101593,0.26261985301971436,0.24998565018177032
18,0.27301108837127686,0.21395570039749146,0.2775556147098541,0.2411656230688095
19,0.2732519209384918,0.21034473180770874,0.2915085554122925,0.24886228144168854
20,0.28022336959838867,0.2057599425315857,0.2658689618110657,0.24984726309776306
21,0.2899254560470581,0.20866163074970245,0.320039302110672,0.2489403337240219
22,0.2856036424636841,0.2051929235458374,0.2788383364677429,0.2368607372045517
23,0.283510684967041,0.2064526379108429,0.1844901591539383,0.2894512414932251
24,0.28197816014289856,0.20528869330883026,0.2731167674064636,0.23673290014266968
25,0.29544177651405334,0.20294535160064697,0.30465438961982727,0.24957601726055145
26,0.2929565906524658,0.20573674142360687,0.282865971326828,0.2478417605161667
27,0.29277101159095764,0.1977175772190094,0.3316292464733124,0.24105235934257507
28,0.29295194149017334,0.19957847893238068,0.2796948552131653,0.244253009557724
29,0.3122798800468445,0.19840221107006073,0.28748705983161926,0.24527664482593536
30,0.3170011639595032,0.19384925067424774,0.3297629654407501,0.24441391229629517
31,0.31503379344940186,0.19613996148109436,0.2948894798755646,0.25578242540359497
32,0.3280163109302521,0.1886366456747055,0.34931641817092896,0.2443487048149109
33,0.328249990940094,0.19138012826442719,0.2854914963245392,0.2559051215648651
34,0.34818074107170105,0.18346285820007324,0.3036578893661499,0.24661383032798767
35,0.3547344505786896,0.18221142888069153,0.27516835927963257,0.2668514549732208
36,0.382461816072464,0.17244219779968262,0.30788642168045044,0.256817102432251
37,0.39051172137260437,0.16411921381950378,0.310230016708374,0.2655796706676483
38,0.4152171015739441,0.1624278426170349,0.24874474108219147,0.2850273847579956
39,0.4156513214111328,0.15464645624160767,0.29919859766960144,0.29001519083976746
40,0.44269391894340515,0.146892249584198,0.27027153968811035,0.3129049241542816
41,0.4592895805835724,0.1403891146183014,0.3043849766254425,0.3039660155773163
42,0.4758960008621216,0.1303936243057251,0.32801181077957153,0.2954084873199463
43,0.49949824810028076,0.1246202364563942,0.31482115387916565,0.33218005299568176
44,0.5124537944793701,0.11835339665412903,0.3220936059951782,0.322605162858963
45,0.5282978415489197,0.11176872253417969,0.3124147355556488,0.3401046097278595
46,0.5444257259368896,0.10538376122713089,0.30563393235206604,0.32470443844795227
47,0.5604050159454346,0.10040850937366486,0.29937008023262024,0.35624781250953674
48,0.5603255033493042,0.0960628017783165,0.31972670555114746,0.34846046566963196
49,0.5773212313652039,0.091577909886837,0.28009310364723206,0.4260411858558655
50,0.5944387912750244,0.08586960285902023,0.30752280354499817,0.36640384793281555
51,0.6101364493370056,0.08153838664293289,0.31312596797943115,0.4186093509197235
52,0.6133222579956055,0.0798870250582695,0.31883278489112854,0.4044873118400574
53,0.6282621026039124,0.07529346644878387,0.2995748817920685,0.44773682951927185
54,0.6555823683738708,0.07307609915733337,0.3011685311794281,0.45297184586524963
55,0.6585550308227539,0.06909925490617752,0.3104529082775116,0.44830459356307983
56,0.6796728372573853,0.06720828264951706,0.29452455043792725,0.45021599531173706
57,0.6879292130470276,0.06244340166449547,0.3079603314399719,0.4709959030151367
