epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.8399326205253601,0.17566479742527008,0.16698861122131348,0.8223662376403809,0.7876859307289124,0.10543125122785568,0.20109814405441284,0.7771427035331726
1,0.82101970911026,0.048250388354063034,0.16883732378482819,0.8161946535110474,0.7718917727470398,0.01457848772406578,0.2061999887228012,0.7704339623451233
2,0.8157041072845459,0.008044062182307243,0.1682228446006775,0.8148998022079468,0.7795437574386597,0.006171767599880695,0.19531753659248352,0.7789265513420105
3,0.8129748702049255,0.004860103130340576,0.16857638955116272,0.8124887943267822,0.7667037844657898,0.005271777976304293,0.20409591495990753,0.7661764621734619
4,0.8124513030052185,0.004228532779961824,0.16859644651412964,0.8120284080505371,0.7703550457954407,0.004877376835793257,0.20065449178218842,0.7698674201965332
5,0.8123410940170288,0.003958425018936396,0.16804224252700806,0.8119455575942993,0.7730684876441956,0.004595616832375526,0.1979738026857376,0.7726088166236877
6,0.8099777102470398,0.003840611083433032,0.16970747709274292,0.8095937371253967,0.7750971913337708,0.004446812439709902,0.19600185751914978,0.7746524214744568
7,0.8115971684455872,0.0037602165248245,0.16843143105506897,0.8112209439277649,0.7656484842300415,0.004612299147993326,0.20337559282779694,0.7651873230934143
8,0.8103277683258057,0.0037619422655552626,0.16902339458465576,0.8099515438079834,0.7679285407066345,0.0045774574391543865,0.2015274614095688,0.7674707174301147
9,0.8122376799583435,0.003741699270904064,0.16776421666145325,0.811863362789154,0.7657719254493713,0.0045572626404464245,0.202698215842247,0.7653163075447083
10,0.8109214901924133,0.0037457344587892294,0.16893930733203888,0.8105471134185791,0.7721952795982361,0.004497440066188574,0.1978541910648346,0.7717456221580505
