epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.428250253200531,0.1581096202135086,0.0841299295425415,0.41243934631347656,0.40142977237701416,0.07294037938117981,0.09232528507709503,0.39413583278656006
1,0.3411945402622223,0.03141748160123825,0.07679294794797897,0.33805274963378906,0.3929569721221924,0.01779279299080372,0.0973309800028801,0.3911777436733246
2,0.33611568808555603,0.01128134224563837,0.07732134312391281,0.3349876403808594,0.3802202641963959,0.009676015004515648,0.0942152813076973,0.37925270199775696
3,0.32206177711486816,0.007055182009935379,0.07765042781829834,0.32135629653930664,0.39117127656936646,0.00866723619401455,0.10510134696960449,0.3903045356273651
4,0.31984081864356995,0.006160316057503223,0.0818384438753128,0.3192248046398163,0.36821234226226807,0.007254560012370348,0.1050046905875206,0.3674868047237396
5,0.3189128041267395,0.005567844025790691,0.08448725193738937,0.3183559477329254,0.3590860068798065,0.006164015736430883,0.09375223517417908,0.3584696650505066
6,0.31902024149894714,0.005050296429544687,0.08539450168609619,0.3185151517391205,0.3637808561325073,0.0055250199511647224,0.11250360310077667,0.36322835087776184
7,0.3149312138557434,0.004713045433163643,0.09774855524301529,0.3144598603248596,0.38508427143096924,0.005959308706223965,0.1050027534365654,0.3844883441925049
8,0.31491604447364807,0.004631966818124056,0.09593060612678528,0.3144528269767761,0.36356309056282043,0.005258308723568916,0.12062685191631317,0.36303722858428955
9,0.315071702003479,0.004453487228602171,0.0919339656829834,0.3146262764930725,0.36815232038497925,0.005705876741558313,0.10562996566295624,0.3675817549228668
10,0.3163318336009979,0.004460243042558432,0.09066205471754074,0.3158858120441437,0.36325836181640625,0.00609819870442152,0.12500403821468353,0.362648606300354
11,0.3107662498950958,0.004347235430032015,0.09847412258386612,0.3103315234184265,0.3646312654018402,0.005378924775868654,0.10125048458576202,0.3640933334827423
12,0.31065645813941956,0.004263771697878838,0.09611307084560394,0.3102301061153412,0.355666846036911,0.005087415687739849,0.12500570714473724,0.35515812039375305
13,0.31626495718955994,0.004315888974815607,0.09011713415384293,0.31583330035209656,0.3536500632762909,0.004953411873430014,0.11666729301214218,0.353154718875885
